"KOID"	"B1T24"	"B2T24"	"B3T24"	"B1T48"	"B2T48"	"B3T48"
"K08961"	366	398	746	1205	1846	2369
"K08963"	199	189	192	371	327	259
"K08968"	24	112	220	109	134	181
"K08974"	451	628	176	375	591	194
"K08978"	551	628	570	753	1068	1058
"K08998"	374	472	579	1047	1013	1305
"K08999"	78	186	365	130	216	255
"K09002"	68	78	51	32	38	8
"K09011"	81	111	241	208	338	442
"K09013"	943	1226	1646	1198	1427	1920
"K09014"	495	907	1833	509	482	713
"K09015"	343	557	1454	326	370	440
"K09022"	2286	3281	2529	2126	1913	5522
"K09117"	803	1244	2315	492	695	1145
"K09121"	229	262	163	288	280	494
"K09125"	70	69	175	157	238	350
"K09133"	19	14	29	50	90	97
"K09155"	3	2	2	9	14	13
"K09157"	1795	2338	2554	2542	2796	3872
"K09163"	344	420	373	684	899	813
"K09181"	521	1022	2223	650	805	1183
"K09228"	112	118	65	325	638	214
"K09457"	56	85	139	90	175	241
"K09458"	2410	3816	4520	1626	2152	2296
"K09516"	14	8	51	41	60	118
"K09680"	7	12	3	17	15	44
"K09690"	317	395	433	939	875	1018
"K09691"	166	211	261	562	770	911
"K09692"	76	93	98	42	59	28
"K09693"	187	196	135	81	107	56
"K09696"	124	135	116	73	82	80
"K09697"	71	78	72	44	62	66
"K09702"	180	327	898	362	492	736
"K09704"	525	615	1003	1115	1688	2263
"K09706"	73	71	84	175	217	159
"K09707"	28	40	9	19	36	78
"K09710"	488	631	1241	1200	1163	1375
"K09747"	547	620	1584	1249	1253	1603
"K09748"	633	918	1626	1897	1338	1759
"K09749"	1630	1820	1814	1596	2032	1971
"K09758"	302	271	649	292	405	522
"K09759"	428	435	707	791	1264	1659
"K09760"	559	761	1840	1911	1983	1956
"K09761"	746	891	1293	1627	1744	1931
"K09762"	966	1218	1514	1325	1537	2377
"K09765"	540	575	1049	1012	1493	1728
"K09766"	221	232	381	173	334	364
"K09768"	146	190	164	256	408	368
"K09769"	722	1049	358	494	494	579
"K09770"	138	187	243	99	155	255
"K09772"	839	1036	2040	2421	2142	2889
"K09775"	400	602	1065	994	876	931
"K09777"	170	206	323	633	553	695
"K09779"	93	111	48	247	370	162
"K09787"	801	1023	3279	2255	1784	1948
"K09789"	23	38	86	108	177	285
"K09790"	49	47	167	141	176	262
"K09793"	66	72	123	147	186	312
"K09805"	427	716	130	567	599	158
"K09807"	170	223	346	348	620	639
"K09808"	216	223	657	443	807	1084
"K09809"	88	87	65	37	71	32
"K09810"	88	88	213	142	196	299
"K09811"	1554	2038	2897	1935	2175	3004
"K09812"	1430	1912	2533	1764	1779	2312
"K09815"	736	802	707	1127	1522	1627
"K09816"	654	774	788	941	1398	1545
"K09817"	571	643	545	897	1175	1299
"K09825"	7695	11657	8238	4410	2290	5170
"K09835"	27	17	67	124	146	513
"K09861"	324	443	734	480	798	1059
"K09888"	325	394	459	358	434	540
"K09903"	2629	3580	5174	3300	2997	3875
"K09922"	10	29	54	53	85	103
"K09924"	75	88	177	161	302	354
"K09935"	112	91	76	197	240	214
"K09936"	3	3	0	5	23	33
"K09939"	41	56	244	76	107	155
"K09951"	387	449	450	345	659	759
"K09952"	298	308	324	97	117	66
"K09955"	1039	1235	1537	1974	2997	3185
"K09960"	19	19	40	118	154	186
"K09961"	35	26	68	152	201	275
"K09967"	127	107	50	37	45	12
"K09973"	141	158	391	605	683	839
"K09974"	129	165	248	124	295	259
"K10009"	120	152	411	485	365	573
"K10010"	90	89	163	81	129	185
"K10012"	122	149	197	348	302	821
"K10026"	120	288	686	185	221	414
"K10036"	190	439	114	218	166	659
"K10038"	119	216	109	152	198	459
"K10112"	20468	30408	25693	50019	41611	33815
"K10117"	13955	20865	33895	10328	9449	13651
"K10118"	2160	2720	4654	1964	2875	3778
"K10119"	2134	2857	4849	1815	2622	3417
"K10188"	100	93	54	33	48	17
"K10189"	60	75	28	20	23	6
"K10190"	60	55	23	15	32	4
"K10192"	492	900	1047	761	839	875
"K10193"	120	161	218	241	363	286
"K10194"	118	185	297	255	359	321
"K10200"	903	985	1560	999	1729	2135
"K10201"	245	243	529	393	663	833
"K10202"	243	301	539	421	784	941
"K10206"	2033	2729	3508	3747	4199	4839
"K10254"	3058	3512	8973	6103	5032	7763
"K10352"	151	241	342	320	577	561
"K10395"	68	116	132	87	89	108
"K10396"	68	88	42	33	36	15
"K10413"	24	11	9	6	4	4
"K10414"	18	15	15	33	51	44
"K10439"	496	382	337	1046	902	922
"K10440"	106	91	198	349	500	799
"K10441"	227	171	195	569	723	1132
"K10536"	1075	1470	1023	856	1469	1804
"K10540"	21717	27837	38994	11941	10714	20029
"K10541"	7073	9739	13945	3954	3396	6345
"K10542"	5874	7285	12917	4584	4212	6558
"K10546"	1926	1723	536	4931	4794	8997
"K10547"	503	448	155	1352	1194	2393
"K10548"	715	573	256	1896	1614	3196
"K10587"	108	114	146	229	396	521
"K10596"	220	190	330	213	451	555
"K10685"	1	0	23	7	13	17
"K10709"	23	10	5	16	7	98
"K10710"	224	331	100	254	389	292
"K10716"	129	175	303	370	528	888
"K10773"	1061	1303	1756	2373	2615	2870
"K10776"	0	0	4	3	15	14
"K10778"	85	100	188	281	305	586
"K10797"	67	83	248	244	320	634
"K10820"	180	192	128	561	255	1073
"K10823"	1882	2362	3269	3133	2934	4495
"K10824"	55	52	70	150	232	193
"K10907"	1616	2033	2288	2990	2938	3699
"K10914"	5	4	0	123	69	330
"K10947"	152	197	297	293	488	672
"K11050"	12	27	12	18	53	72
"K11051"	73	103	44	50	62	58
"K11065"	1422	2855	2880	408	265	361
"K11068"	1054	1224	980	3918	2848	3571
"K11069"	798	1310	1585	2088	1954	3661
"K11070"	217	279	813	990	994	1803
"K11071"	546	766	1124	1279	1393	2294
"K11072"	745	1045	1818	2210	2277	3930
"K11085"	280	464	1327	391	669	824
"K11104"	779	875	1280	965	1678	1996
"K11105"	653	808	936	1497	2322	2473
"K11145"	489	494	1686	1248	1161	1220
"K11175"	1541	2109	1253	1134	1284	1573
"K11184"	46	77	21	43	31	185
"K11189"	8947	13998	20526	14774	12220	12554
"K11261"	15	18	29	113	108	116
"K11358"	987	1137	1343	1424	2077	2731
"K11381"	661	977	1551	629	579	789
"K11529"	284	257	516	1051	1153	1484
"K11534"	23	11	45	115	123	168
"K11537"	253	409	753	379	700	858
"K11645"	1395	2160	3009	976	846	1053
"K11691"	30	35	162	97	142	350
"K11717"	234	417	934	280	375	521
"K11720"	79	89	296	181	290	387
"K11741"	66	87	210	208	253	408
"K11749"	1576	1851	4031	2942	3096	3965
"K11751"	3855	5119	9066	6994	5003	5847
"K11752"	1188	1617	1328	1016	1591	2414
"K11753"	1182	1403	3255	2950	2783	4148
"K11754"	2294	3045	5067	30291	16742	12044
"K11755"	1088	1368	2056	1702	1773	2194
"K11824"	48	40	32	81	138	98
"K11840"	31	36	28	6	14	9
"K11866"	13	17	11	9	5	1
"K11927"	661	630	1886	2668	2091	2511
"K11928"	849	913	1214	1592	2547	2629
"K11991"	514	603	925	999	1491	1618
"K12132"	2911	3730	5576	4426	4831	6839
"K12137"	104	129	50	37	52	375
"K12236"	6	3	13	31	33	49
"K12251"	945	1343	1076	1045	1462	1862
"K12257"	1906	2734	7316	4354	4301	6228
"K12267"	4518	4218	11727	2912	2302	3211
"K12268"	341	373	707	358	762	1060
"K12269"	378	410	654	364	770	1159
"K12308"	3554	4358	4736	4779	7824	9854
"K12309"	32	21	83	127	164	302
"K12340"	214	214	401	488	858	1029
"K12343"	120	186	375	257	352	501
"K12373"	2322	3439	8126	4445	6789	9390
"K12410"	3159	4775	3005	3113	3102	3394
"K12452"	143	134	116	85	140	169
"K12506"	386	483	1075	1937	1949	1744
"K12510"	223	207	382	216	450	590
"K12524"	200	225	566	469	745	978
"K12527"	1959	2142	456	3485	3109	12355
"K12567"	1	1	5	19	28	19
"K12573"	2473	3150	3821	4196	5231	6278
"K12574"	2805	3556	4118	4963	5563	5767
"K12817"	5	5	11	16	24	22
"K12940"	26	17	27	76	94	84
"K12942"	151	201	427	327	469	771
"K12952"	2746	3691	4392	2524	3095	3932
"K12960"	445	603	398	812	724	556
"K12992"	60	105	80	50	62	100
"K13001"	11	16	38	18	41	57
"K13004"	5	2	0	6	15	14
"K13012"	243	206	643	872	828	972
"K13038"	893	1157	2730	2288	3024	3368
"K13043"	135	255	480	290	415	537
