"KOID"	"B1T24"	"B2T24"	"B3T24"	"B1T48"	"B2T48"	"B3T48"
"K02049"	688	664	441	1624	1978	2345
"K02050"	654	661	398	1553	1990	1886
"K02051"	1670	1673	900	3631	3732	4795
"K02052"	23	23	6	65	67	112
"K02053"	20	10	0	47	40	71
"K02054"	21	11	8	67	51	82
"K02055"	97	67	26	339	225	498
"K02065"	107	167	433	219	296	402
"K02066"	142	165	502	196	274	380
"K02067"	108	199	493	222	299	394
"K02069"	41	76	172	115	165	232
"K02071"	700	771	1448	1751	1783	1778
"K02072"	441	425	1002	1217	1229	1123
"K02073"	482	573	1054	1211	1221	1408
"K02078"	3078	4628	5359	3849	3035	3572
"K02103"	277	373	168	436	536	519
"K02106"	308	328	324	1986	1199	3447
"K02108"	2827	4373	9009	6067	5642	7085
"K02109"	2497	3898	6112	5144	4112	5783
"K02110"	1625	2565	3979	2906	2536	3567
"K02111"	7801	11964	20916	14817	12179	17369
"K02112"	8795	13538	23145	14563	11697	17389
"K02113"	2503	3913	5502	4707	3839	5565
"K02114"	2971	4503	6667	4261	3677	5051
"K02115"	5054	7918	11625	8600	6934	10471
"K02117"	3139	4035	2565	7375	4731	3876
"K02118"	2480	3224	1923	4901	3289	2800
"K02119"	1358	1578	568	3311	2150	1434
"K02120"	1340	1632	782	3042	1933	1224
"K02121"	387	589	868	1869	1146	742
"K02122"	544	738	314	1228	755	685
"K02123"	3535	4420	2943	8349	5506	4722
"K02124"	433	540	791	1859	1159	870
"K02160"	288	364	105	138	221	211
"K02169"	49	54	160	195	325	438
"K02171"	64	63	85	57	119	147
"K02172"	314	341	581	392	838	1016
"K02188"	933	1029	1931	2435	2648	3444
"K02189"	684	751	1162	1298	1667	2205
"K02190"	87	110	122	266	262	489
"K02203"	364	472	584	443	616	778
"K02217"	2555	5764	10604	1384	809	897
"K02224"	914	960	1566	2224	2581	2870
"K02226"	870	836	1613	2469	2782	2776
"K02227"	444	438	843	915	1181	1641
"K02230"	127	138	331	542	765	1052
"K02231"	299	340	474	610	727	1065
"K02232"	813	803	1441	1728	2138	2776
"K02233"	443	361	682	779	986	1416
"K02237"	561	660	687	761	956	1059
"K02238"	1637	1986	2501	2623	3658	4789
"K02241"	509	730	147	646	354	87
"K02278"	231	182	257	218	373	546
"K02279"	216	232	407	371	738	916
"K02283"	965	1015	1570	1387	2532	3271
"K02302"	239	257	302	172	318	465
"K02313"	2534	3517	5276	4481	4608	6366
"K02314"	2425	3177	4233	3128	3988	5329
"K02315"	1986	2316	3887	4532	5813	5721
"K02316"	2160	2808	3829	4644	4793	4714
"K02334"	39	32	71	281	291	387
"K02335"	3318	4205	5973	5068	6020	7302
"K02337"	2897	3760	7780	5390	6904	8166
"K02338"	2145	3433	6467	3415	3571	4647
"K02340"	719	907	1666	1495	2047	2239
"K02341"	2626	3518	2132	3045	2688	2973
"K02342"	210	315	1008	300	444	559
"K02343"	2594	3696	7155	5809	5632	6816
"K02346"	900	1051	1455	1745	2555	2729
"K02355"	36588	51171	105349	64287	44572	66839
"K02356"	4335	5781	7418	11190	8405	10942
"K02357"	3269	4826	15004	16485	12271	15366
"K02358"	29148	42739	70702	63072	42569	67859
"K02361"	115	194	509	196	312	387
"K02371"	1630	2413	3114	1522	1990	2491
"K02372"	976	1719	1327	713	970	1058
"K02377"	166	220	502	491	635	787
"K02379"	319	428	472	456	437	437
"K02385"	173	269	97	217	125	56
"K02387"	780	1006	757	452	531	511
"K02388"	909	1119	602	460	500	474
"K02389"	1078	1499	1260	1071	966	719
"K02390"	4029	5689	3893	3083	2839	2113
"K02392"	2373	3563	2375	2368	2625	2000
"K02396"	2654	3588	2927	1813	2758	2960
"K02397"	1657	2166	1619	1243	1638	1461
"K02400"	1767	2478	1311	1725	2268	1809
"K02401"	924	1238	753	876	1220	1115
"K02404"	481	609	752	397	886	1002
"K02405"	798	1041	821	627	806	897
"K02406"	41681	61044	37622	16997	9137	10024
"K02407"	6456	9441	7179	2488	3376	3648
"K02408"	491	656	458	222	359	386
"K02409"	2194	3113	2000	1328	1802	1903
"K02410"	1044	1429	1191	619	1038	1081
"K02411"	440	546	706	279	494	592
"K02412"	1378	1711	1602	1046	1463	1607
"K02414"	1928	2660	3352	545	864	1175
"K02416"	1686	2461	1188	1494	1378	1081
"K02417"	2570	3678	2725	1730	1898	2108
"K02419"	1131	1642	946	906	1072	955
"K02420"	204	295	248	189	260	246
"K02421"	686	863	500	622	704	547
"K02422"	1165	1743	1225	449	550	605
"K02424"	162	271	805	586	461	739
"K02426"	53	116	260	57	86	124
"K02428"	819	985	1561	1550	1821	2413
"K02429"	466	791	2440	797	1273	1760
"K02431"	23	32	4	54	108	17
"K02433"	1079	1331	950	996	1650	2155
"K02434"	1002	1365	786	959	1495	1758
"K02435"	20	25	20	59	66	104
"K02437"	202	536	1062	169	230	297
"K02440"	1627	2946	266	839	568	3206
"K02443"	94	97	2030	41	82	103
"K02469"	6624	8874	16452	10257	11067	13456
"K02470"	5261	6633	11480	8280	9936	11637
"K02472"	72	105	351	307	281	617
"K02477"	84	128	315	171	271	344
"K02481"	121	180	349	295	401	499
"K02492"	119	104	112	400	335	418
"K02493"	769	1034	1449	2258	2215	2408
"K02499"	1253	1590	4472	4201	2602	3509
"K02500"	933	1006	1326	1135	1777	2093
"K02501"	716	838	1156	826	1274	1534
"K02502"	772	1060	733	775	1304	1233
"K02503"	767	985	1788	1048	1215	1613
"K02510"	26	15	31	62	93	112
"K02517"	62	73	180	146	196	357
"K02518"	728	879	2168	4303	2540	4994
"K02519"	3337	4818	11646	11914	11102	11020
"K02520"	1910	2737	4635	8090	5283	6931
"K02523"	90	136	435	195	346	414
"K02527"	120	164	502	278	390	520
"K02528"	1084	1370	2324	1465	2005	2428
"K02529"	8517	12124	16558	19749	21616	20510
"K02536"	221	468	1052	204	307	350
"K02538"	478	530	132	298	262	712
"K02548"	99	126	220	216	370	510
"K02551"	104	143	440	212	366	498
"K02556"	1654	2148	1832	1300	1500	1629
"K02557"	1928	2600	1726	1962	1901	1432
"K02563"	2130	3170	4838	3444	3761	4661
"K02564"	5621	8981	13177	6646	5224	6856
"K02566"	81	105	14	141	126	360
"K02585"	9	7	17	52	83	93
"K02587"	28	78	64	26	61	84
"K02588"	59	81	78	129	174	257
"K02589"	44	60	23	15	16	3
"K02590"	50	47	22	9	13	7
"K02591"	24	18	27	112	131	170
"K02598"	10	8	28	50	79	107
"K02600"	1747	2793	5538	5180	4118	4389
"K02601"	3631	4854	9382	6937	4967	7510
"K02614"	201	301	177	185	241	212
"K02619"	29	44	86	90	133	177
"K02621"	418	775	2005	514	737	945
"K02622"	172	268	801	335	559	732
"K02647"	4321	5381	8368	6002	5496	6713
"K02650"	185600	340568	36151	78705	39430	20763
"K02652"	1933	2784	1495	1002	1434	2022
"K02653"	2846	3712	2070	1676	2053	2705
"K02654"	1773	2729	2640	721	967	1376
"K02662"	1208	1607	1826	478	829	1176
"K02669"	2260	3066	2074	1437	2423	2585
"K02687"	1182	1494	1556	2385	2657	2644
"K02755"	1997	2780	2295	339	558	1380
"K02759"	131	174	189	69	166	201
"K02760"	154	158	300	152	282	382
"K02761"	457	539	561	230	542	614
"K02768"	9380	10449	25049	4780	4080	13027
"K02775"	184	263	1043	429	542	863
"K02777"	175	211	704	1728	1446	1161
"K02781"	22	20	1	11	17	29
"K02782"	25	11	1	8	10	21
"K02783"	8	9	0	2	7	11
"K02790"	260	207	703	1449	1159	1159
"K02793"	947	1068	184	685	361	1776
"K02795"	695	793	229	506	442	1145
"K02796"	1026	1204	240	729	613	1643
"K02798"	24	35	7	69	43	138
"K02803"	22161	32117	32978	16531	16257	23945
"K02805"	248	307	369	397	385	750
"K02806"	5	7	3	1	10	16
"K02809"	3	6	23	23	48	142
"K02823"	803	1016	1089	1383	1657	2256
"K02824"	1038	1287	2035	1440	1866	2619
"K02834"	334	489	1280	1304	1397	1636
"K02835"	983	1221	1318	1619	2134	2367
"K02836"	1164	1403	2558	3258	2872	3873
"K02837"	963	1138	2204	2736	2996	4122
"K02838"	2598	3740	5449	2849	2869	3775
"K02843"	107	149	312	263	382	550
"K02851"	29	37	109	332	217	238
"K02852"	6	8	40	15	23	44
"K02856"	174	281	869	212	270	481
"K02857"	12	16	33	64	50	42
"K02860"	479	611	955	1184	1308	1316
"K02863"	6188	8084	16538	11844	8006	12060
"K02864"	4675	6216	16229	17663	12615	15623
"K02867"	3742	5020	10753	7903	5540	8279
"K02871"	1945	2846	5888	8171	4060	6637
"K02874"	2519	3457	11500	8270	6960	8673
"K02876"	3583	5457	16349	8535	4984	9670
"K02878"	2460	3636	12128	9871	8123	9540
"K02879"	2758	4096	7127	7712	5169	7693
"K02881"	3026	4470	13075	7352	5166	8508
"K02884"	2213	3312	7397	10847	7637	11046
"K02886"	4231	6445	14926	15956	11754	13965
"K02887"	1321	1909	4347	6775	4978	5806
"K02888"	4217	5384	15793	10128	7050	9717
"K02890"	1829	2672	7514	7504	5589	6732
"K02892"	1794	2631	5893	6713	4837	5537
"K02895"	2345	3566	12569	7976	7500	8952
"K02897"	168	283	1065	184	254	305
"K02899"	4495	5646	15662	8956	6277	8101
"K02902"	1600	2582	6340	4454	2896	4206
"K02904"	1251	1852	6039	4349	3639	4392
"K02906"	3088	4402	9215	14143	9837	11293
"K02907"	1678	2643	7966	4245	2496	4703
"K02909"	2711	4175	8356	6919	4748	6149
"K02911"	3185	4360	9190	11303	7896	7924
"K02913"	2190	2689	5483	3714	2883	3957
"K02914"	953	1340	4742	6798	3860	5580
"K02916"	975	1358	2603	3923	3039	3640
"K02919"	859	1230	2630	4301	2699	4091
"K02926"	2497	3817	8226	11479	7710	9113
"K02931"	3510	5133	16693	10196	8960	11338
"K02933"	4446	6565	18826	10973	7925	12081
"K02935"	3406	4461	11714	12623	8977	10734
"K02939"	1348	1792	2800	2179	1989	2527
"K02945"	12041	15301	35392	37180	24270	43450
"K02946"	1782	2717	5491	9507	6297	7388
"K02948"	2482	3455	7065	8345	5416	8617
"K02950"	8137	10653	25840	15731	10786	17114
"K02952"	2406	3507	6498	8529	5112	8732
"K02954"	1723	2468	9441	4938	4194	5482
"K02956"	2131	3385	6606	10793	7033	10358
"K02959"	2382	3555	8624	6160	5198	5376
"K02961"	1946	2686	8234	5976	5480	6259
"K02963"	4116	4613	8597	6714	4623	7294
"K02965"	1423	1998	4794	5311	4007	4723
"K02967"	3161	4905	11399	14543	10285	14693
"K02968"	8969	9972	32001	29433	21510	23972
"K02970"	2440	3740	11603	19625	15236	15906
"K02982"	3633	5296	16768	15140	11771	14191
"K02986"	3553	5110	10280	12820	7820	12423
"K02988"	3762	5528	17004	9587	6144	10833
"K02990"	4880	5853	11277	9629	6443	10046
"K02992"	6639	8672	20207	13102	8653	13467
"K02994"	3850	5473	15155	9510	7324	10699
"K02996"	2091	3077	5749	8220	4562	6259
"K03009"	7	3	10	29	42	20
"K03040"	5004	7230	16351	18383	13036	18424
"K03043"	13389	19373	27850	25583	17559	27102
"K03046"	18960	28001	43564	29322	19567	30347
"K03060"	367	468	364	330	296	496
"K03070"	4433	5675	9906	9223	9481	10716
"K03072"	451	634	339	312	535	513
"K03073"	1827	2476	4608	3699	2332	3633
"K03074"	311	450	239	182	273	326
"K03075"	837	1267	1937	997	905	1189
"K03076"	9683	14404	47590	24179	13744	27657
"K03077"	1423	1955	1250	1383	1949	2471
"K03086"	4199	5400	12724	11926	9220	10926
"K03091"	3263	3708	3373	6994	8179	7837
"K03092"	405	713	1246	641	805	1198
"K03100"	1949	2187	3948	4493	5040	5643
"K03101"	1420	2031	1274	915	971	1360
"K03106"	3080	3799	12524	8982	7937	7651
"K03110"	1213	1696	2936	1606	1851	2392
"K03111"	5897	7113	11326	10189	7359	11400
"K03113"	72	114	192	240	245	369
"K03116"	571	789	2901	1512	1149	1466
"K03117"	233	184	909	624	497	583
"K03118"	1056	1256	6006	3657	2778	3740
"K03147"	1213	1534	1284	1198	1909	2291
"K03148"	21	18	28	80	97	130
"K03149"	336	379	511	611	1068	1398
"K03150"	1073	1064	1641	1619	2978	3380
"K03151"	1156	1462	1828	1795	2392	3054
"K03152"	1224	1706	2157	1727	1973	2445
"K03154"	142	150	232	165	303	369
"K03168"	2221	2797	4317	4478	6714	7445
"K03169"	4853	5201	5784	7818	13404	14222
"K03177"	1023	1309	2983	2695	2890	3778
"K03183"	117	194	396	207	316	389
"K03186"	9	11	14	48	37	47
"K03205"	4263	4657	5545	9032	14472	14461
"K03210"	1549	2185	3641	3089	2407	3062
"K03215"	2489	2624	3792	4483	5950	6727
"K03216"	509	639	1180	1436	1414	1685
"K03217"	1637	2134	2970	4035	4098	5172
"K03218"	1024	1178	1652	2197	2373	2985
"K03269"	245	400	667	290	420	597
"K03270"	63	89	218	182	275	381
"K03271"	4	5	26	32	32	50
"K03281"	193	235	809	348	540	760
"K03282"	650	904	1145	1148	1118	1027
"K03284"	1476	1833	1664	1706	2379	2354
"K03292"	1540	1755	3331	4237	6018	5974
"K03294"	450	670	3180	801	1179	1072
"K03299"	85	117	203	252	376	622
"K03300"	114	146	188	298	475	408
"K03303"	6315	9370	2619	3519	2319	9442
"K03305"	289	392	956	716	1089	1687
"K03306"	255	388	386	426	568	721
"K03307"	1108	1157	2685	2480	4192	4964
"K03308"	4844	6720	4687	7211	8878	8919
"K03310"	2348	2473	3671	4271	6621	8240
"K03311"	117	137	298	630	572	948
"K03312"	501	581	660	752	1493	1526
"K03313"	101	102	248	248	376	536
"K03315"	256	276	281	367	577	727
"K03320"	777	884	1197	1494	2716	3029
"K03321"	382	564	429	848	1342	910
"K03322"	184	239	753	358	456	701
"K03324"	2603	3320	3604	3903	4602	5318
"K03326"	93	129	143	254	405	507
"K03327"	200	225	501	554	870	1244
"K03332"	517	568	708	921	1375	1852
"K03340"	325	455	936	475	551	755
"K03348"	1	1	1	3	4	8
"K03385"	295	300	530	636	1086	1459
"K03386"	434	1207	12295	337	387	716
"K03387"	163	188	3042	386	553	888
"K03388"	18	12	33	63	74	124
"K03389"	5	5	23	34	40	110
"K03390"	7	6	20	28	34	47
"K03394"	358	344	525	379	708	886
"K03402"	613	775	1260	1020	999	1338
"K03404"	12	15	11	66	85	115
"K03405"	31	19	42	163	178	288
"K03406"	19106	24761	21955	12075	14415	14576
"K03407"	4783	7065	5682	3196	3199	2764
"K03408"	1196	1788	1612	722	865	801
"K03410"	788	1112	952	613	777	587
"K03411"	553	708	730	504	679	635
"K03412"	2004	2861	2663	1212	1648	1371
"K03413"	1345	1896	1513	925	1073	1102
"K03415"	2498	3881	2532	1889	1305	1295
"K03424"	1494	1792	2275	2377	2742	3479
"K03426"	544	563	802	849	1362	1780
"K03427"	2215	2652	3347	4725	6431	6032
"K03429"	468	528	581	857	1025	1153
"K03430"	16	17	38	44	64	111
"K03431"	2145	2723	3242	3505	3546	4359
"K03436"	1719	1921	5003	1749	1837	4803
"K03437"	787	1079	1197	2610	2681	2843
"K03438"	3991	5527	7513	9452	8451	13124
"K03439"	586	672	1208	1413	1756	1988
"K03442"	1246	1987	1336	1215	1374	1406
"K03451"	0	0	1	0	0	0
"K03453"	359	411	745	825	1472	1579
"K03455"	583	946	1890	1047	1693	2300
"K03457"	38	18	78	148	184	260
"K03465"	247	247	683	862	1036	1018
"K03466"	3922	4643	6559	7913	11490	12182
"K03469"	340	437	500	918	1174	1204
"K03470"	777	875	1099	1461	1724	2049
"K03473"	200	335	639	339	472	678
"K03474"	90	164	426	178	280	393
"K03484"	658	885	1000	298	603	834
"K03488"	374	483	1130	306	331	747
"K03491"	20	27	4	15	52	57
"K03495"	1720	1993	3051	4418	5430	6294
"K03496"	2912	3589	4329	6131	7960	8872
"K03497"	2985	3283	4287	6023	8222	8494
"K03498"	2961	3776	5762	7293	8188	8536
"K03499"	2605	3426	4743	6285	6310	6913
"K03500"	1089	1336	2615	2687	3071	3633
"K03501"	711	865	1568	1527	1957	2135
"K03502"	2090	2211	5481	4247	4649	5593
"K03503"	12	8	38	20	27	34
"K03517"	642	887	1226	756	1272	1416
"K03518"	595	734	965	747	809	1275
"K03521"	10846	17083	7785	3617	2995	14088
"K03522"	12749	20882	9382	4741	3627	17518
"K03523"	538	541	1033	962	1573	1706
"K03524"	1587	1963	1898	3613	3551	3685
"K03525"	999	1268	1970	3394	3841	3669
"K03526"	1573	2085	5031	2710	3080	3978
"K03527"	1009	1471	1576	566	889	1257
"K03529"	1887	2333	2749	3135	3834	5389
"K03530"	5681	9387	16706	8354	5393	8366
"K03531"	4667	7188	6873	8184	6593	8747
"K03534"	76	105	187	116	176	239
"K03536"	801	1064	1042	1525	1555	1853
"K03543"	128	134	271	395	579	815
"K03544"	2969	4053	5805	5069	5164	7729
"K03545"	5151	7173	11629	15717	12576	18439
"K03546"	870	966	1589	1588	1935	2215
"K03547"	497	540	763	828	1119	1413
"K03550"	593	714	1258	1473	1519	1876
"K03551"	1183	1436	2969	2918	3240	3718
"K03553"	2014	2826	4407	4520	3910	4305
"K03555"	2202	2784	3521	4395	5542	6516
"K03559"	96	147	316	136	209	268
"K03561"	1238	2692	9026	973	1312	1575
"K03563"	400	604	325	288	385	352
"K03564"	289	441	811	203	418	681
"K03565"	485	611	569	546	788	923
"K03569"	2679	3453	7643	6684	6631	7465
"K03570"	847	1130	2290	2165	2083	2494
"K03571"	254	285	302	142	190	314
"K03572"	1984	2238	2439	3292	4309	5210
"K03574"	568	597	705	730	1126	1258
"K03575"	493	473	738	1443	1628	2296
"K03581"	2036	2269	3049	3835	4820	4908
"K03584"	786	1116	1496	1824	2111	2589
"K03585"	565	754	1361	1152	1687	2374
"K03587"	393	655	2474	510	865	1070
"K03588"	2105	3321	4666	3267	3520	4215
"K03589"	133	198	653	159	213	280
"K03590"	210	403	1398	314	441	606
"K03593"	160	178	481	318	443	686
"K03594"	186	171	511	140	153	181
"K03595"	1287	1677	2773	3325	3324	3511
"K03596"	2013	2672	3933	3277	4273	5150
"K03601"	1714	2264	2366	2909	2963	3622
"K03602"	14	9	7	29	37	43
"K03606"	399	506	918	1036	1809	2323
"K03608"	267	357	305	146	244	409
"K03609"	2668	3540	2208	2254	2151	2820
"K03610"	524	675	642	364	623	849
"K03612"	1718	2505	4719	4920	3237	4891
"K03613"	2711	3898	6487	6971	5134	6927
"K03614"	3369	4606	8389	9981	7357	9702
"K03615"	4257	5548	9008	11828	8521	12672
"K03616"	3615	4901	9832	9784	6647	9988
"K03617"	2454	3373	6931	6863	4711	6532
"K03621"	1345	1588	1858	1682	2003	2790
"K03624"	1260	1644	2714	3185	2795	3556
"K03625"	877	1303	2865	1822	1699	2044
"K03628"	1481	1901	1888	1072	1416	2302
"K03629"	1282	1699	3332	3802	3983	4809
"K03630"	1086	1405	1973	1739	2686	3040
"K03631"	2187	2681	4723	3473	3934	4948
"K03637"	259	293	413	1060	857	1108
"K03639"	472	552	709	2433	1848	2024
"K03644"	119	148	330	224	363	508
"K03648"	450	580	781	666	1123	1259
"K03650"	1137	1290	2344	3325	3728	3889
"K03654"	3597	6096	9958	4532	7345	8634
"K03655"	3415	4287	5740	4978	7338	8974
"K03657"	4313	4902	6909	7508	10955	13122
"K03660"	451	471	559	668	1141	1253
"K03664"	1037	1346	2415	4987	2947	3402
"K03665"	1524	2209	3193	3524	3914	4372
"K03666"	306	537	116	175	140	174
"K03671"	4830	6970	8046	10907	6816	10091
"K03685"	480	584	1032	1262	1440	1978
"K03686"	3508	4678	5710	5999	4825	6897
"K03687"	2497	2889	4072	2429	1801	2639
"K03688"	1656	2173	3268	828	1289	2069
"K03695"	6266	8307	15962	8445	6283	11028
"K03696"	3132	4366	7533	4394	5514	6022
"K03698"	672	817	710	333	660	922
"K03699"	1101	1674	1852	1696	1567	1853
"K03700"	251	308	320	193	332	478
"K03701"	3647	4482	7441	8277	8781	9889
"K03702"	2085	2501	3594	4540	5375	5455
"K03703"	1825	2284	4803	4262	4977	5118
"K03704"	879	1143	1606	2046	1412	1823
"K03705"	2959	3643	5781	3696	2932	3867
"K03706"	376	517	721	370	538	712
"K03707"	9	31	7	9	11	27
"K03710"	804	1128	1715	2870	2301	2854
"K03711"	670	1208	1545	1107	1274	1561
"K03716"	298	311	426	281	549	711
"K03718"	358	886	1335	316	315	479
"K03719"	189	240	374	455	671	838
"K03722"	550	632	1293	1821	2266	2183
"K03723"	2576	2774	4383	6265	7889	9041
"K03733"	2396	4899	9520	813	726	929
"K03734"	1812	2667	1966	2903	2870	3637
"K03735"	300	315	264	762	676	896
"K03736"	209	212	168	501	413	647
"K03737"	68964	112965	77056	74628	41641	93598
"K03741"	49	96	156	132	175	327
"K03742"	627	839	2065	2086	2130	2633
"K03744"	332	508	1203	538	762	920
"K03748"	3	4	25	20	24	38
"K03750"	148	128	149	2091	1219	948
"K03752"	64	42	59	20	25	13
"K03753"	36	49	67	706	473	407
"K03758"	268	145	46	185	153	203
"K03763"	4185	5028	9968	7358	8999	10109
"K03768"	1840	2351	3104	6441	5049	5490
"K03769"	69	172	38	39	37	153
"K03770"	335	764	2320	319	508	599
"K03771"	349	555	2072	627	888	1187
"K03773"	339	545	2874	495	716	1051
"K03775"	401	786	1509	216	223	279
"K03778"	518	979	1548	569	806	1212
"K03779"	323	306	472	312	538	659
"K03780"	297	294	500	323	675	792
"K03781"	367	332	2986	438	219	310
"K03783"	535	663	1275	920	1232	1911
"K03784"	912	1049	1962	3365	3009	2981
"K03785"	515	547	649	660	1044	1053
"K03786"	247	295	610	695	739	779
"K03787"	226	309	445	318	467	553
"K03789"	397	525	379	387	486	635
"K03790"	574	598	871	896	1442	1564
"K03797"	2170	2584	5130	3552	4392	5664
"K03798"	7581	10556	18943	20558	15626	21533
"K03799"	87	127	333	159	260	395
"K03800"	222	287	331	530	556	628
"K03801"	88	156	339	148	277	330
"K03803"	33	31	82	124	135	210
"K03811"	33	23	83	108	192	225
"K03814"	544	777	1017	332	396	499
"K03816"	1065	1373	2098	2016	2334	2357
"K03818"	90	99	175	217	454	517
"K03823"	439	489	663	1321	1505	1345
"K03825"	14	23	21	112	113	128
"K03826"	49	59	27	9	43	46
"K03827"	156	158	377	490	689	906
"K03830"	93	75	325	314	260	295
"K03832"	3113	5120	10043	4462	3057	4756
"K03839"	452	645	1267	446	447	606
"K03856"	400	360	1120	1597	1780	2120
"K03885"	1355	2253	1983	740	678	817
"K03900"	9	5	8	26	46	33
"K03924"	2149	3010	2824	3549	4018	3529
"K03925"	1174	1752	1655	1282	1222	1928
"K03929"	682	628	1243	1424	1473	1298
"K03975"	48	63	112	162	250	313
"K03976"	582	664	1110	662	1191	1309
"K03977"	2137	2634	4232	3773	3558	4151
"K03978"	705	878	1833	1372	1506	1871
"K03979"	1503	1554	4346	3450	3413	3717
"K04019"	185	165	206	685	527	770
"K04023"	133	129	131	475	475	576
"K04024"	604	1023	468	698	621	1739
"K04026"	167	204	129	332	294	433
"K04027"	128	111	99	378	270	344
"K04028"	165	317	98	259	226	636
"K04029"	153	219	237	483	433	639
"K04030"	50	72	74	156	188	225
"K04031"	126	155	206	314	325	499
"K04032"	150	154	129	389	349	371
"K04041"	1781	1974	3203	3234	5018	6375
"K04042"	1068	1347	1376	2119	2015	2054
"K04043"	13263	17737	32284	16479	11956	18525
"K04045"	24	53	4	62	63	130
"K04047"	210	675	11015	138	184	249
"K04061"	163	187	165	131	202	247
"K04066"	1949	2473	4237	4910	5390	6936
"K04068"	750	889	1153	1374	1604	1730
"K04069"	1692	2543	4397	6965	4794	5667
"K04070"	565	538	821	1093	1840	1645
"K04072"	7690	11014	1824	7138	3412	3048
"K04074"	297	269	258	558	384	303
"K04075"	1365	1724	3074	3167	3332	4135
"K04077"	11525	13506	31019	13221	8134	12464
"K04078"	2305	2633	4957	2237	1571	2269
"K04079"	4223	5518	10991	5482	6097	8491
"K04083"	844	1050	2768	1837	1797	2105
"K04084"	360	597	1813	616	974	1282
"K04094"	591	607	858	1653	1986	2219
"K04095"	522	672	332	838	1046	586
"K04096"	1139	1419	1391	3158	3395	3598
"K04257"	93	95	176	102	266	248
"K04320"	7	9	1	0	1	1
"K04377"	66	136	27	113	159	43
"K04477"	233	286	210	367	521	539
"K04485"	1218	1338	2106	2461	3494	3912
"K04486"	1438	1867	2704	3152	3916	4212
"K04487"	3043	3275	6537	9164	7251	9551
"K04488"	684	769	1606	1904	1378	1994
"K04510"	43	37	96	111	119	389
"K04516"	128	220	742	250	358	436
"K04517"	601	693	1169	1378	1758	1817
"K04518"	77	114	267	204	343	424
"K04562"	335	402	542	259	593	694
"K04564"	4898	9435	9163	1446	937	1027
"K04565"	7	8	15	79	84	89
"K04566"	133	380	61	132	164	392
"K04567"	3615	4975	8250	7962	7701	9144
"K04615"	3	1	6	11	15	19
"K04651"	31	27	30	12	26	5
"K04652"	52	59	70	19	24	12
"K04653"	8	14	9	9	17	45
"K04654"	32	67	54	59	148	363
"K04655"	32	84	72	62	99	306
"K04656"	67	148	143	142	200	619
"K04710"	39	49	44	78	164	133
"K04712"	6	6	12	5	13	12
"K04720"	925	1019	1710	1614	2458	2864
"K04751"	77	92	120	167	151	525
"K04758"	1472	2533	13724	2143	1647	2382
"K04759"	8149	14057	74117	10281	11125	13809
"K04760"	4	3	5	5	22	18
